Length,Lower,upper,numbers,full
5,11881376.00,380204032.00,916132832.00,7737809375.00
6,308915776.00,19770609664.00,56800235584.00,735091890625.00
7,8031810176.00,1028071702528.00,3521614606208.00,69833729609375.00
8,208827064576.00,53459728531456.00,218340105584896.00,6634204312890620.00
9,5429503678976.00,2779905883635710.00,13537086546263600.00,630249409724609000.00
10,141167095653376.00,144555105949057000.00,839299365868340000.00,59873693923837900000.00
11,3670344486987780.00,7516865509350970000.00,52036560683837100000.00,5688000922764600000000.00
12,95428956661682200.00,390877006486250000000.00,3226266762397900000000.00,540360087662637000000000.00
13,2481152873203740000.00,20325604337285000000000.00,200028539268670000000000.00,51334208327950500000000000.00
14,64509974703297200000.00,1056931425538820000000000.00,12401769434657500000000000.00,4876749791155300000000000000.00
15,1677259342285730000000.00,54960434128018700000000000.00,768909704948767000000000000.00,463291230159753000000000000000.00
16,43608742899428900000000.00,2857942574656970000000000000.00,47672401706823500000000000000.00,44012666865176600000000000000000.00
17,1133827315385150000000000.00,148613013882162000000000000000.00,2955688905823060000000000000000.00,4181203352191770000000000000000000.00
18,29479510200013900000000000.00,7727876721872450000000000000000.00,183252712161030000000000000000000.00,397214318458219000000000000000000000.00
